name,dates,lang,exam_date,return_date,link,days_inbetween,reporter,semester,comment,Column
Banking,12/18/2019 14:30 → 01/13/2020 16:16,de,"Dec 18, 2019 2:30 PM","Jan 13, 2020 4:16 PM",https://bestande.ch/uzh/50788956,26,MoneyBillstax,20192,,"Jan 16, 2020 1:27 PM"
Advanced Statistics,01/13/2020 18:00 → 01/16/2020 13:00,de,"Jan 13, 2020 6:00 PM","Jan 16, 2020 1:00 PM",https://bestande.ch/uzh/50942119/timetable,2,lichthofhipster10,20192,,"Jan 16, 2020 1:27 PM"
Human-Computer Interaction,01/07/2020 14:00 → 01/13/2020 13:30,en,"Jan 7, 2020 2:00 PM","Jan 13, 2020 1:30 PM",https://bestande.ch/uzh/50793285,5,ThatShouldBeTrivial666,20192,,"Jan 16, 2020 1:27 PM"
Services & Operations Management,01/07/2020 15:45 → 01/14/2020 13:46,de,"Jan 7, 2020 3:45 PM","Jan 14, 2020 1:46 PM",https://bestande.ch/uzh/50728388/chat,6,Lichthofenthusiast7,20192,,"Jan 16, 2020 1:27 PM"
International Tax Planning,12/17/2019 20:00 → 01/09/2020 15:18,en,"Dec 17, 2019 8:00 PM","Jan 9, 2020 3:18 PM",https://bestande.ch/uzh/50436548,22,Bibliothekwoman1,20192,,"Jan 16, 2020 1:27 PM"
Mathematik I,12/16/2019 18:30 → 01/14/2020 13:42,de,"Dec 16, 2019 6:30 PM","Jan 14, 2020 1:42 PM",https://bestande.ch/uzh/50038004/chat,28,Lena1999,20192,,"Jan 16, 2020 1:27 PM"
Einführung in die empirische Wirtschaftsforschung,12/17/2019 12:00 → 01/14/2020 13:32,de,"Dec 17, 2019 12:00 PM","Jan 14, 2020 1:32 PM",https://bestande.ch/uzh/50047387/chat,28,keiahni,20192,,"Jan 16, 2020 1:27 PM"
Introduction to Bioinformatics,12/17/2019 9:45 → 01/15/2020 13:59,en,"Dec 17, 2019 9:45 AM","Jan 15, 2020 1:59 PM",https://bestande.ch/uzh/50858977/chat,29,FBI,20192,,"Jan 16, 2020 1:27 PM"
Core Area: Media Content & Media Use,12/13/2019 13:45 → 01/07/2020 8:06,de,"Dec 13, 2019 1:45 PM","Jan 7, 2020 8:06 AM",https://bestande.ch/uzh/50942155/chat,24,butwhywouldyou,20192,"Prüfung am 13.12.2019, Rückgabe am 7.1.2020. Gemeldet von butwhywouldyou im Bestande-Chat. Wiederholungsprüfung war am 17.1.20, Resultate kamen am 31.1.20 (14 Tage). Gemeldet von newsdepriviert im Bestande-Chat.","Jan 16, 2020 2:01 PM"
Advanced Statistics and Data Analysis,12/17/2019 13:45 → 01/06/2020 21:37,de,"Dec 17, 2019 1:45 PM","Jan 6, 2020 9:37 PM",https://bestande.ch/uzh/50942151/chat,20,publis,20192,,"Jan 16, 2020 2:13 PM"
